eta,sparse,r,b_d,f,policy,tps,gain,bound,b_eff,tpot_opt,tpot_cons,gpu_nonattn,gpu_attn,cpu_attn,c2c_decode,append_total,append_oldkv,append_flush,hbm_used_gb,hbm_fits,c2c_util,decode_batch_cap
0.3,0.1,0.5,256,0.05,partial_cpu_attn,26.29372108899315,1.012199216606136,hbm_capacity,2,0.07606378698666667,0.07938854462340741,0.058333333333333334,0.017725453653333334,0.0029853395626666668,0.00033941807407407405,1.0130925712786016,0.07808250311111112,0.009687191703703704,199.524677632,True,0.0024188997960415738,2.311875072693955
0.3,0.1,0.5,256,0.1,partial_cpu_attn,26.620216740498535,1.0247679451463274,hbm_capacity,2,0.07513086837333334,0.08144096557274075,0.058333333333333334,0.01679253504,0.0059706791253333336,0.00033941807407407405,1.0130925712786016,0.07808250311111112,0.009687191703703704,197.28567296,True,0.002448256805218386,2.4403125767325085
0.3,0.1,0.5,256,0.2,partial_cpu_attn,27.29815259337392,1.0508656639464609,hbm_capacity,2,0.07326503114666667,0.08554580747140741,0.058333333333333334,0.014926697813333334,0.011941358250666667,0.00033941807407407405,1.0130925712786016,0.07808250311111112,0.009687191703703704,192.807663616,True,0.0025091618998223575,2.7453516488240717
0.3,0.1,0.5,256,0.3,partial_cpu_attn,35.064951068396574,1.3498551947681974,hbm_capacity,3,0.08555551650844445,0.10514680738844445,0.058333333333333334,0.019591290879999997,0.026868056064,0.00034912711111111105,1.0130925712786016,0.07808250311111112,0.009687191703703704,204.002686976,True,0.0022693680492883246,3.137544741513225
0.3,0.1,0.5,256,0.5,partial_cpu_attn,33.78265368131273,1.300492063309193,hbm_capacity,4,0.11840396073481482,0.13706233300148152,0.058333333333333334,0.018658372266666667,0.059706791253333336,0.0003588361481481481,1.0130925712786016,0.07808250311111112,0.009687191703703704,201.763682304,True,0.0017304462860356356,4.392562638118515
0.3,0.1,0.5,256,1.0,full_cpu_attn,33.23115994684805,1.2792618416871184,tpot_balanced,256,7.703613127241482,7.703613127241482,0.058333333333333334,0.0,7.642469280426667,0.0028055134814814814,1.0130925712786016,0.07808250311111112,0.009687191703703704,156.983588864,True,0.0003445472450886216,inf
0.3,0.1,1.0,8,0.0,gpu_hot,14.779230922558847,1.0,hbm_capacity,1,0.06766251946666667,0.06766251946666667,0.058333333333333334,0.009329186133333334,0.0,0.0,1.0814878826860088,0.15616500622222224,0.0,189.914773504,True,0.004306099785236107,1.725485610063077
0.3,0.1,1.0,8,0.05,partial_cpu_attn,14.880717619916785,1.0068668456355891,hbm_capacity,1,0.06720106016,0.06902343897837038,0.058333333333333334,0.008862726826666667,0.0014926697813333334,0.00032970903703703704,1.0911750743897126,0.15616500622222224,0.009687191703703704,188.795271168,True,0.004746915482359096,1.81630064217166
0.3,0.1,1.0,8,0.1,partial_cpu_attn,14.984730367950508,1.0139046102242024,hbm_capacity,1,0.06673460085333334,0.07004964945303704,0.058333333333333334,0.00839626752,0.0029853395626666668,0.00032970903703703704,1.0911750743897126,0.15616500622222224,0.009687191703703704,187.675768832,True,0.004779114595440602,1.917206233403419
0.3,0.1,1.0,8,0.2,partial_cpu_attn,27.29815259337392,1.8470617812532002,hbm_capacity,2,0.07326503114666667,0.08554580747140741,0.058333333333333334,0.014926697813333334,0.011941358250666667,0.00033941807407407405,1.0911750743897126,0.15616500622222224,0.009687191703703704,203.348801536,True,0.004497150715919718,2.1568570125788464
0.3,0.1,1.0,8,0.3,partial_cpu_attn,26.113141605024044,1.7668809521857627,hbm_capacity,2,0.07658978878340741,0.08965064937007408,0.058333333333333334,0.013060860586666665,0.017912037376000004,0.00033941807407407405,1.0911750743897126,0.15616500622222224,0.009687191703703704,198.870792192,True,0.004306828931426397,2.4649794429472536
0.3,0.1,1.0,8,0.5,partial_cpu_attn,28.994596734648685,1.9618474659863165,hbm_capacity,3,0.10346755388444445,0.11746133308444445,0.058333333333333334,0.0139937792,0.04478009344,0.00034912711111111105,1.0911750743897126,0.15616500622222224,0.009687191703703704,201.109796864,True,0.003302810342008994,3.450971220126154
